question,reponse
"Quels services proposez-vous ?","Nous offrons: location courte/longue durée, livraison à domicile/aéroport, assistance 24h/24, voitures neuves, options GPS/siège bébé, et service chauffeur sur demande."
"Quels sont vos prix ?","Nos tarifs commencent à 250 DH/jour pour une citadine, 350 DH/jour pour une berline, et 500 DH/jour pour un SUV. Des remises s'appliquent pour les locations longue durée."
"Avez-vous des promotions ?","Oui! -15% pour 7+ jours, -20% pour 1+ mois, -10% étudiants, -15% entreprises fidèles, et offres spéciales hors saison."
"Quelles sont vos conditions ?","Âge minimum: 21 ans (25 ans pour luxe), permis valide depuis 2+ ans, carte d'identité/passeport, caution de 2000-5000 DH (carte ou espèces)."
"Comment réserver ?","1. En ligne sur notre site 2. Par téléphone au 06 00 00 00 00 3. En agence (8h-20h) 4. Via notre application mobile"
"Livrez-vous la voiture ?","Oui! Livraison gratuite à Casablanca/Rabat pour 5+ jours. Aéroport: +100 DH. Autres villes: nous consulter."
"Assurance incluse ?","Oui, assurance RC + vol/incendie incluse. Tous risques: +80 DH/jour. Franchise: 2000 DH (réduite à 1000 DH avec tous risques)."
"Quels documents ?","1. Carte d'identité ou passeport 2. Permis de conduire valide 3. Carte bancaire pour caution (ou espèces)"
"Kilométrage limité ?","250 km/jour inclus (7500 km/mois). Supplément: 2 DH/km. Option illimitée: +50 DH/jour."
"Puis-je aller à l'étranger ?","Maroc uniquement. Pour sortie du territoire: accord préalable + caution supplémentaire + documents douaniers."
"Annulation gratuite ?","Oui! Annulation sans frais jusqu'à 48h avant. Moins de 48h: 1 jour de location facturé."
"Modification réservation ?","Modifications gratuites jusqu'à 24h avant selon disponibilité. Changement de véhicule possible."
"Options disponibles ?","GPS: 30 DH/jour, Siège bébé: 20 DH/jour, Wi-Fi: 40 DH/jour, Chauffeur: 500 DH/jour, Nettoyage complet: 150 DH"
"Paiement accepté ?","Espèces, carte bancaire (Visa/Mastercard), virement, chèque (sur autorisation), PayPal en ligne."
"Caution remboursée quand ?","Sous 7 jours après restitution (état des lieux OK). Délai bancaire: 2-5 jours."
"En cas d'accident ?","1. Appelez assistance 24h/24 (06 00 00 00 01) 2. Constat amiable dans la boîte à gants 3. Ne quittez pas les lieux sans autorisation"
"En cas de panne ?","Assistance dépannage 24h/24 incluse. Remplacement véhicule si réparation > 4h."
"Retard restitution ?","Contactez-nous! 1-2h retard: demi-journée facturée. +2h: journée complète + frais."
"Véhicules électriques ?","Oui! Nissan Leaf: 300 DH/jour, Tesla Model 3: 800 DH/jour. Bornes de recharge fournies."
"Véhicules adaptés ?","Voitures PMR disponibles sur réservation (48h préavis). Rampe/commandes manuelles. Prix: nous consulter."
"Service événements ?","Mariages: Mercedes Classe S (1200 DH/jour), Événements d'entreprise: flotte complète, avec ou sans chauffeur."
"Remise entreprise ?","-15% pour contrats annuels, facturation mensuelle, gestion centralisée, et flotte dédiée."
"Remise étudiant ?","-10% sur présentation de la carte étudiante valide. Valable hors périodes de pointe."
"Location longue durée ?","1-3 mois: -20%, 3-6 mois: -25%, 6-12 mois: -30%. Entretien inclus après 3 mois."
"Quelle est votre disponibilité ?","Réservation recommandée 48h à l'avance. Dernière minute: selon stock. Haute saison: réserver 1 semaine avant."
"Horaires agences ?","Lun-Sam: 8h-20h, Dim: 9h-18h. Prise/retour 24h/24 possible sur RDV (+100 DH)."
"Où sont vos agences ?","Casablanca (centre, aéroport), Rabat, Marrakech, Tanger, Agadir. Ouverture Fès et Oujda prévue 2026."
"Voitures neuves ?","Tous nos véhicules ont moins de 2 ans, révisés après chaque location, et nettoyés intégralement."
"Options écologiques ?","Compensation carbone incluse (5 DH/jour reversés à des projets de reforestation au Maroc)."
"Programme fidélité ?","1 jour gratuit après 10 jours loués, upgrade véhicule offert après 5 locations, cadeaux anniversaire."
"Puis-je fumer dans la voiture ?","Interdit. Nettoyage spécial (300 DH) en cas de non-respect. Idem pour animaux sans cage."
"Stationnement ?","Parking gratuit dans nos agences. En ville, nous conseillons les parkings sécurisés (non inclus)."
"Essence incluse ?","Plein départ, rendu plein. Si non: pleine facturée + 50 DH de service. Stations recommandées: Afriquia, Shell."
"Climatisation ?","Tous nos véhicules ont la clim. Entretien régulier pour performance optimale."
"Véhicules automatiques ?","Disponibles! 30% de notre flotte. Prix: +15% par rapport aux manuelles."
"Route de montagne ?","Chaînes à neige disponibles en hiver (100 DH/jour). SUV recommandé pour l'Atlas."
"Accessoires inclus ?","Chargeur téléphone USB, câble auxiliaire, constat amiable, trousse de secours et extincteur inclus."
"Vérification avant départ ?","Inspection conjointe avec photos. Signalisez tout défaut pour éviter litiges."
"Règlement en euros ?","Possible au taux du jour + 2% de frais. Préférence: dirhams marocains (DH)."
"TVA incluse ?","Oui, tous nos prix sont TTC (TVA 20% incluse). Pas de frais cachés."
"Puis-je essayer la voiture ?","Tour d'essai de 10 minutes avec notre conseiller avant signature du contrat."
"Vidange incluse ?","Pour locations > 1 mois, vidange offerte dans nos ateliers agréés."
"En cas de vol ?","Assistance police immédiate. Franchise applicable selon assurance choisie."
"Conducteurs multiples ?","2 conducteurs max inclus. +1 conducteur: 50 DH/jour. Tous doivent être présents à la prise."
"Limite d'âge maximum ?","Pas de limite si permis valide et examen médical récent (après 70 ans)."
"Réservation sans carte ?","Possible en agence avec acompte 50% en espèces. En ligne: carte obligatoire."
"Bagagerie ?","Consultez nos fiches véhicules pour capacité coffre. Galerie de toit: 100 DH/jour."
"Contrôle technique ?","Tous nos véhicules ont le contrôle technique valide, renouvelé tous les 6 mois."
"Climat désertique ?","Préparation spéciale désert pour 4x4 (filtre air, liquides adaptés): +200 DH/jour."
"Retour agence différente ?","Possible entre Casablanca, Rabat, Marrakech: +300 DH. Autres villes: nous consulter."
"Application mobile ?","Oui! Réservez, suivez votre contrat, assistance en un clic. iOS et Android."
"Pourquoi nous choisir ?","Transparence, véhicules récents, assistance 24h/24, prix sans surprise, +5000 clients satisfaits depuis 2020!"
